的	8033973
及	2798804
在	2256745
和	1462963
是	1362597
但	1361134
與	1326221
有	1296655
後	1246312
以	1201303
年	1159236
時	1074924
至	1064078
為	998145
他	993049
香港	971633
指	968781
嘅	908124
元	870863
月	863821
周	839123
等	773875
被	757447
了	755901
而	751070
到	713183
或	689428
已	688704
由	683846
對	680405
表示	680145
日	679945
於	666226
人	649756
亦	647833
將	642931
她	641741
中	641683
會	626596
約	615102
說	608080
前	548216
萬元	532311
美國	520957
昨日	515914
不過	511389
令	509334
都	505902
上	499905
係	498859
記者	496025
向	495660
要	491806
政府	489974
又	488898
更	482538
昨	480535
歲	477782
個	460450
今年	450160
佢	449414
本報訊	443783
就	430375
因	425049
中國	423530
曾	421649
內地	416454
一個	413328
可	413244
下	408231
自己	400014
陳	391102
公司	387431
價	387411
萬	381135
可以	378380
億元	377401
則	374106
也	368746
沒有	366983
高	365032
股	363352
升	362701
其	361219
大	361102
包括	361054
稱	358723
因為	356744
達	354834
去年	349922
李	348631
市場	340313
同	338011
雖然	337921
喺	337590
認為	336549
他們	335756
警方	335059
名	330812
做	328224
去	322657
用	321762
港	316238
並	314758
內	314122
斯	312436
我	312352
如	309913
新	301057
外	299481
逾	296902
地	295293
較	295213
$	292351
林	291530
點	289238
好	287416
問題	287390
希望	286714
咁	283913
話	283383
季	280087
蘋果	279335
再	278264
獲	277651
其中	275945
發現	274428
呎	273772
即	268901
英國	267605
一名	267166
日本	266945
美	265102
場	264511
一	264043
家	263132
黃	262494
所以	262190
影響	261061
市民	259581
多	259204
文	258150
今	257269
由於	253398
者	253041
近	252619
相信	252596
女	251097
作	250018
港元	249060
要求	247768
若	247506
今次	245632
成為	244315
比	243892
連	243758
來	243678
跟	242668
出現	242599
億	241214
繼續	240263
跌	240020
至於	239792
不少	239409
該	238351
工作	238098
華	237675
梁	235830
單位	234539
之後	233666
從	232690
接受	232106
倍	230088
現時	227699
表現	227175
卻	225865
時間	225730
事件	225210
三	224434
上周	224021
支持	223958
投資	223786
得	222944
計劃	222490
已經	221993
舉行	221504
其實	221344
位	221104
馬	220543
早前	219214
加上	218745
部份	218064
開始	217373
分	217113
號	216776
張	216690
最	216240
國	216225
成	215765
利	215614
阿	214743
其他	214215
如果	214082
進行	213787
最後	213665
調查	212818
被告	211369
見	210584
台灣	210137
五	209298
士	208179
提供	207438
料	207114
有關	206825
可能	206413
呢	205004
